TYPE,USAGE_NUMBER,SPLIT_NUMBER,SPLIT_CROSSREF,REFERENCE,DETAILS,USER_NAME,DATE,AMOUNT,FOREIGN_AMOUNT,DELETED_FLAG,CIS_VAT,RECORD_CREATE_DATE,RECORD_MODIFY_DATE,RECORD_DELETED
SI,1,2,84,3122,£ 300.00 (£ 300.00) to SI 40360,Olia,2013-02-01,300.0,300.0,0,0.0,2013-08-16 11:25:39,2019-01-25 14:31:07,0
SI,2,2,85,3122,£ 36.00 (£ 36.00) to SI 40361,Olia,2013-02-01,36.0,36.0,0,0.0,2013-08-16 11:25:39,2019-03-28 13:14:03,0
SI,3,2,26802,trans 14430,£ 75.25 (£ 75.25) to SI 94058,Demi,2019-03-28,75.25,75.25,0,0.0,2019-03-28 13:14:03,2019-03-28 13:14:03,0
SC,4,4,17,84,£ 237.39 (€ 282.56) from SC 20787,Olia,2011-01-31,237.39000000000001,282.56,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,5,5,17,84,£ 197.83 (€ 235.47) from SC 20787,Olia,2011-01-31,197.82999999999998,235.46999999999997,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,6,6,17,84,£ 127.68 (€ 151.97) from SC 20787,Olia,2011-01-31,127.67999999999999,151.97,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,7,6,22,86,£ 294.34 (€ 350.35) from SC 20792,Olia,2011-01-31,294.34000000000003,350.35,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,8,7,22,86,£ 276.95 (€ 329.65) from SC 20792,Olia,2011-01-31,276.95,329.65,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,9,8,22,86,£ 630.10 (€ 750.00) from SC 20792,Olia,2011-01-31,630.1,750.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,10,9,22,86,£ 777.13 (€ 925.00) from SC 20792,Olia,2011-01-31,777.13,925.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,11,10,22,86,£ 201.63 (€ 240.00) from SC 20792,Olia,2011-01-31,201.63,240.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,12,11,22,86,£ 210.03 (€ 250.00) from SC 20792,Olia,2011-01-31,210.03000000000003,250.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SC,13,12,22,86,£ 2226.37 (€ 2650.00) from SC 20792,Olia,2011-01-31,2226.37,2650.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,14,16,26783,trans 20786,£ 1370.65 (€ 1600.00) to SI 94039,Demi,2019-03-28,1370.65,1600.0,0,0.0,2019-03-28 13:11:41,2019-03-28 13:11:41,0
SI,15,16,26796,REVAL,£ 3.77 (€ 0.00) to SI 94052,Demi,2019-03-28,3.7700000000000005,0.0,0,0.0,2019-03-28 13:11:41,2019-03-28 13:11:41,0
SI,16,17,4,2609,£ 237.39 (€ 282.56) to SI 19202,Olia,2011-01-31,237.39000000000001,282.56,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,17,17,23,REVAL,£ 5.33 (€ 0.00) to SI 21804,Olia,2011-01-31,5.33,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,18,17,5,2609,£ 197.83 (€ 235.47) to SI 19203,Olia,2011-01-31,197.82999999999998,235.46999999999997,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,19,17,24,REVAL,£ 4.44 (€ 0.00) to SI 21805,Olia,2011-01-31,4.4399999999999995,0.0,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,20,17,6,2609,£ 127.68 (€ 151.97) to SI 19204,Olia,2011-01-31,127.67999999999999,151.97,0,0.0,2013-07-09 10:43:37,2019-01-25 14:31:06,0
SI,21,17,25,REVAL,£ 2.86 (€ 0.00) to SI 21806,Olia,2011-01-31,2.8600000000000003,0.0,0,0.0,2013-07-09 10:43:37,2019-03-28 13:11:42,0
